RPM,MAP,AFR,AFR Trim %,AFR Learn %,Transient Fuel,Trans fuel PW1,Map Accel,Fast Accel,Map Decel,Fast Decel,Map Decay,Fast Decay,Accel RPM,
0,102.3,14.7,0.0,0.0,0.00,-43.69,0.00,0.00,0.00,0.00,0,0,0,
RPM,MAP,AFR,AFR Trim %,AFR Learn %,Transient Fuel,Trans fuel PW1,Map Accel,Fast Accel,Map Decel,Fast Decel,Map Decay,Fast Decay,Accel RPM,
0,102.3,14.7,0.0,0.0,0.00,-43.69,0.00,0.00,0.00,0.00,0,0,0,
RPM,MAP,AFR,AFR Trim %,AFR Learn %,Transient Fuel,Trans fuel PW1,Map Accel,Fast Accel,Map Decel,Fast Decel,Map Decay,Fast Decay,Accel RPM,
0,102.3,14.7,0.0,0.0,0.00,-43.69,0.00,0.00,0.00,0.00,0,0,0,
RPM,MAP,AFR,AFR Trim %,AFR Learn %,Transient Fuel,Trans fuel PW1,Map Accel,Fast Accel,Map Decel,Fast Decel,Map Decay,Fast Decay,Accel RPM,
0,102.3,14.7,0.0,0.0,0.00,-43.69,0.00,0.00,0.00,0.00,0,0,0,
RPM,MAP,AFR,AFR Trim %,AFR Learn %,Transient Fuel,Trans fuel PW1,Map Accel,Fast Accel,Map Decel,Fast Decel,Map Decay,Fast Decay,Accel RPM,
0,102.3,14.7,0.0,0.0,0.00,-43.69,0.00,0.00,0.00,0.00,0,0,0,
RPM,MAP,AFR,AFR Trim %,AFR Learn %,Transient Fuel,Trans fuel PW1,Map Accel,Fast Accel,Map Decel,Fast Decel,Map Decay,Fast Decay,Accel RPM,
0,102.3,14.7,0.0,0.0,0.00,-43.69,0.00,0.00,0.00,0.00,0,0,0,
RPM,MAP,AFR,AFR Trim %,AFR Learn %,Transient Fuel,Trans fuel PW1,Map Accel,Fast Accel,Map Decel,Fast Decel,Map Decay,Fast Decay,Accel RPM,
0,102.3,14.7,0.0,0.0,0.00,-43.69,0.00,0.00,0.00,0.00,0,0,0,
RPM,MAP,AFR,AFR Trim %,AFR Learn %,Transient Fuel,Trans fuel PW1,Map Accel,Fast Accel,Map Decel,Fast Decel,Map Decay,Fast Decay,Accel RPM,
0,102.3,14.7,0.0,0.0,0.00,-43.69,0.00,0.00,0.00,0.00,0,0,0,
RPM,MAP,AFR,AFR Trim %,AFR Learn %,Transient Fuel,Trans fuel PW1,Map Accel,Fast Accel,Map Decel,Fast Decel,Map Decay,Fast Decay,Accel RPM,
0,102.3,14.7,0.0,0.0,0.00,-43.69,0.00,0.00,0.00,0.00,0,0,0,
RPM,MAP,AFR,AFR Trim %,AFR Learn %,Transient Fuel,Trans fuel PW1,Map Accel,Fast Accel,Map Decel,Fast Decel,Map Decay,Fast Decay,Accel RPM,
0,102.3,14.7,0.0,0.0,0.00,-43.69,0.00,0.00,0.00,0.00,0,0,0,
RPM,MAP,AFR,AFR Trim %,AFR Learn %,Transient Fuel,Trans fuel PW1,Map Accel,Fast Accel,Map Decel,Fast Decel,Map Decay,Fast Decay,Accel RPM,
0,102.3,14.7,0.0,0.0,0.00,-43.69,0.00,0.00,0.00,0.00,0,0,0,
