RPM,MAP,Vacuum,Coolant Temp,AFR,Target AFR,AFR Trim %,AFR Learn %,Fan,TPS,Fuel PW,Target RPM,IAC Steps,Idle PID,Pump PWM,Air Temp,Cylinder Temp,Battery,BARO,Run State,Fault,Fault,Fault,Fault,Save Fault,Save Fault,Save Fault,Save Fault,Gear State,vehicle speed,
1793,49.3,-15.0,177,12.8,13.91,-3.1,0.0,1,9.1,2.70,733,40,-15,0,98,141,13.80,102.3,Dash,0,0,0,0,0,0,0,0,0,0,
RPM,MAP,Vacuum,Coolant Temp,AFR,Target AFR,AFR Trim %,AFR Learn %,Fan,TPS,Fuel PW,Target RPM,IAC Steps,Idle PID,Pump PWM,Air Temp,Cylinder Temp,Battery,BARO,Run State,Fault,Fault,Fault,Fault,Save Fault,Save Fault,Save Fault,Save Fault,Gear State,vehicle speed,
1912,48.3,-15.3,177,12.5,13.97,-6.3,0.8,1,9.1,2.68,733,41,-15,0,98,141,13.90,102.3,Dash,0,0,0,0,0,0,0,0,0,0,
RPM,MAP,Vacuum,Coolant Temp,AFR,Target AFR,AFR Trim %,AFR Learn %,Fan,TPS,Fuel PW,Target RPM,IAC Steps,Idle PID,Pump PWM,Air Temp,Cylinder Temp,Battery,BARO,Run State,Fault,Fault,Fault,Fault,Save Fault,Save Fault,Save Fault,Save Fault,Gear State,vehicle speed,
1980,57.3,-12.6,177,12.6,13.72,-0.8,-0.8,1,13.1,3.38,733,42,-15,0,98,140,13.80,102.3,Dash,0,0,0,0,0,0,0,0,0,0,
RPM,MAP,Vacuum,Coolant Temp,AFR,Target AFR,AFR Trim %,AFR Learn %,Fan,TPS,Fuel PW,Target RPM,IAC Steps,Idle PID,Pump PWM,Air Temp,Cylinder Temp,Battery,BARO,Run State,Fault,Fault,Fault,Fault,Save Fault,Save Fault,Save Fault,Save Fault,Gear State,vehicle speed,
2089,65.3,-10.3,177,12.5,13.49,0.0,-1.6,1,17.7,4.04,733,42,-15,0,98,140,13.80,102.3,Dash,0,0,0,0,0,0,0,0,0,0,
RPM,MAP,Vacuum,Coolant Temp,AFR,Target AFR,AFR Trim %,AFR Learn %,Fan,TPS,Fuel PW,Target RPM,IAC Steps,Idle PID,Pump PWM,Air Temp,Cylinder Temp,Battery,BARO,Run State,Fault,Fault,Fault,Fault,Save Fault,Save Fault,Save Fault,Save Fault,Gear State,vehicle speed,
2212,65.0,-10.3,176,11.9,13.50,-3.1,-1.6,1,17.7,4.00,733,43,-15,0,98,140,13.80,102.3,Dash,0,0,0,0,0,0,0,0,0,0,
RPM,MAP,Vacuum,Coolant Temp,AFR,Target AFR,AFR Trim %,AFR Learn %,Fan,TPS,Fuel PW,Target RPM,IAC Steps,Idle PID,Pump PWM,Air Temp,Cylinder Temp,Battery,BARO,Run State,Fault,Fault,Fault,Fault,Save Fault,Save Fault,Save Fault,Save Fault,Gear State,vehicle speed,
2331,63.5,-10.8,176,11.3,13.57,-6.3,-0.8,1,17.7,3.89,733,45,-15,0,98,140,13.80,102.3,Dash,0,0,0,0,0,0,0,0,0,0,
RPM,MAP,Vacuum,Coolant Temp,AFR,Target AFR,AFR Trim %,AFR Learn %,Fan,TPS,Fuel PW,Target RPM,IAC Steps,Idle PID,Pump PWM,Air Temp,Cylinder Temp,Battery,BARO,Run State,Fault,Fault,Fault,Fault,Save Fault,Save Fault,Save Fault,Save Fault,Gear State,vehicle speed,
2446,62.0,-11.2,176,11.3,13.63,-10.9,-0.8,1,17.7,3.70,733,45,-15,0,98,140,13.80,102.3,Dash,0,0,0,0,0,0,0,0,0,0,
RPM,MAP,Vacuum,Coolant Temp,AFR,Target AFR,AFR Trim %,AFR Learn %,Fan,TPS,Fuel PW,Target RPM,IAC Steps,Idle PID,Pump PWM,Air Temp,Cylinder Temp,Battery,BARO,Run State,Fault,Fault,Fault,Fault,Save Fault,Save Fault,Save Fault,Save Fault,Gear State,vehicle speed,
2604,60.8,-11.6,176,11.2,13.70,-14.1,-0.8,1,17.7,3.63,733,45,-15,0,98,140,13.80,102.3,Dash,0,0,0,0,0,0,0,0,0,0,
RPM,MAP,Vacuum,Coolant Temp,AFR,Target AFR,AFR Trim %,AFR Learn %,Fan,TPS,Fuel PW,Target RPM,IAC Steps,Idle PID,Pump PWM,Air Temp,Cylinder Temp,Battery,BARO,Run State,Fault,Fault,Fault,Fault,Save Fault,Save Fault,Save Fault,Save Fault,Gear State,vehicle speed,
2707,59.3,-12.0,176,11.4,13.74,-17.2,0.0,1,17.7,3.49,733,47,-15,0,98,138,13.80,102.3,Dash,0,0,0,0,0,0,0,0,0,0,
RPM,MAP,Vacuum,Coolant Temp,AFR,Target AFR,AFR Trim %,AFR Learn %,Fan,TPS,Fuel PW,Target RPM,IAC Steps,Idle PID,Pump PWM,Air Temp,Cylinder Temp,Battery,BARO,Run State,Fault,Fault,Fault,Fault,Save Fault,Save Fault,Save Fault,Save Fault,Gear State,vehicle speed,
2804,56.5,-12.8,176,11.7,13.93,-21.1,0.0,1,17.7,3.17,733,47,-15,0,98,138,13.80,102.3,Dash,0,0,0,0,0,0,0,0,0,0,
RPM,MAP,Vacuum,Coolant Temp,AFR,Target AFR,AFR Trim %,AFR Learn %,Fan,TPS,Fuel PW,Target RPM,IAC Steps,Idle PID,Pump PWM,Air Temp,Cylinder Temp,Battery,BARO,Run State,Fault,Fault,Fault,Fault,Save Fault,Save Fault,Save Fault,Save Fault,Gear State,vehicle speed,
2895,54.3,-13.5,176,12.0,13.99,-25.0,0.0,1,17.7,2.95,733,47,-15,0,98,138,13.80,102.3,Dash,0,0,0,0,0,0,0,0,0,0,
RPM,MAP,Vacuum,Coolant Temp,AFR,Target AFR,AFR Trim %,AFR Learn %,Fan,TPS,Fuel PW,Target RPM,IAC Steps,Idle PID,Pump PWM,Air Temp,Cylinder Temp,Battery,BARO,Run State,Fault,Fault,Fault,Fault,Save Fault,Save Fault,Save Fault,Save Fault,Gear State,vehicle speed,
2973,52.3,-14.1,176,12.5,14.07,-27.3,0.0,1,17.7,2.79,733,49,-15,0,98,138,13.80,102.3,Dash,0,0,0,0,0,0,0,0,0,0,
RPM,MAP,Vacuum,Coolant Temp,AFR,Target AFR,AFR Trim %,AFR Learn %,Fan,TPS,Fuel PW,Target RPM,IAC Steps,Idle PID,Pump PWM,Air Temp,Cylinder Temp,Battery,BARO,Run State,Fault,Fault,Fault,Fault,Save Fault,Save Fault,Save Fault,Save Fault,Gear State,vehicle speed,
3090,51.3,-14.4,176,13.4,14.11,-28.1,0.0,1,17.7,2.72,733,49,-15,0,98,138,13.80,102.3,Dash,0,0,0,0,0,0,0,0,0,0,
RPM,MAP,Vacuum,Coolant Temp,AFR,Target AFR,AFR Trim %,AFR Learn %,Fan,TPS,Fuel PW,Target RPM,IAC Steps,Idle PID,Pump PWM,Air Temp,Cylinder Temp,Battery,BARO,Run State,Fault,Fault,Fault,Fault,Save Fault,Save Fault,Save Fault,Save Fault,Gear State,vehicle speed,
3151,50.0,-14.8,176,13.9,14.11,-17.2,0.0,1,17.7,3.02,733,49,-15,0,98,138,13.80,102.3,Dash,0,0,0,0,0,0,0,0,0,0,
